Date : 2024-05-11 17:11:41
Directory : e:\Flutter_apps\neural_network
Total : 63 files,  2028 codes, 306 comments, 365 blanks, all 2699 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| XML             |         17 |        602 |         48 |         19 |        669 |
| C++             |         16 |        534 |        121 |        182 |        837 |
| Dart            |          7 |        369 |         27 |         66 |        462 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |        101 |          5 |         23 |        129 |
| Swift           |          6 |         52 |          7 |         20 |         79 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| CMake           |          2 |         37 |          0 |         12 |         49 |
| YAML            |          2 |         22 |         82 |         19 |        123 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         63 |      2,028 |        306 |        365 |      2,699 |
| . (Files)                                                                                                       |          3 |         32 |         82 |         26 |        140 |
| android                                                                                                         |         13 |        172 |         51 |         37 |        260 |
| android (Files)                                                                                                 |          3 |         53 |          0 |         12 |         65 |
| android\app                                                                                                     |          9 |        114 |         51 |         24 |        189 |
| android\app (Files)                                                                                             |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                                 |          8 |         63 |         46 |         12 |        121 |
| android\app\src\debug                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                            |          6 |         57 |         38 |         10 |        105 |
| android\app\src\main (Files)                                                                                    |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\kotlin                                                                                     |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                 |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                         |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\neural_network                                                          |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                        |          4 |         26 |         32 |          6 |         64 |
